,Марка,Модель,Год выпуска,Город продажи,Тип топлива,"Объем двигателя, л.","Мощность, л.с.",Коробка передач,Привод,Цвет,"Пробег, км",Поколение,Количество регистраций,"Цена, руб."
1112,Porsche,Panamera,2012,Санкт-Петербург,бензин,3.6,300.0,робот,4WD,белый,199000.0,1 поколение,7.0,2400000
1113,Porsche,Macan,2017,Ижевск,бензин,3.0,340.0,робот,4WD,черный,76851.0,1 поколение,2.0,3499000
1114,Porsche,Cayenne,2012,Новосибирск,бензин,4.8,500.0,АКПП,4WD,серебристый,220000.0,2 поколение,4.0,3000000
1115,Porsche,Cayenne,2007,Уфа,бензин,3.6,290.0,АКПП,4WD,красный,173206.0,"1 поколение, рестайлинг",5.0,1409000
1116,Porsche,Cayenne,2008,Москва,бензин,4.8,385.0,АКПП,4WD,черный,173000.0,"1 поколение, рестайлинг",3.0,949000
1117,Porsche,Macan,2019,Севастополь,бензин,2.0,252.0,робот,4WD,белый,50000.0,1 поколение,1.0,4300000
1118,Porsche,Cayenne,2014,Краснодар,бензин,3.6,300.0,АКПП,4WD,белый,178000.0,2 поколение,2.0,2570000
1119,Porsche,Cayenne,2007,Улан-Удэ,бензин,4.8,385.0,механика,4WD,черный,142000.0,"1 поколение, рестайлинг",6.0,1500000
1120,Porsche,Cayenne,2008,Великий Новгород,бензин,3.6,290.0,АКПП,4WD,черный,300000.0,"1 поколение, рестайлинг",4.0,920000
1121,Porsche,Cayenne Coupe,2022,Москва,бензин,3.0,340.0,АКПП,4WD,синий,,1 поколение,,14990000
1122,Porsche,Cayenne,2018,Москва,бензин,2.9,440.0,АКПП,4WD,голубой,83008.0,3 поколение,1.0,8495000
1123,Porsche,Cayenne,2012,Барнаул,бензин,4.8,400.0,АКПП,4WD,фиолетовый,129.0,2 поколение,3.0,2850000
1124,Porsche,Cayenne,2014,Новосибирск,бензин,3.6,300.0,АКПП,4WD,белый,119000.0,2 поколение,5.0,3100000
1126,Porsche,Cayenne,2015,Иркутск,бензин,3.6,300.0,АКПП,4WD,черный,120000.0,"2 поколение, рестайлинг",,3400000
1127,Porsche,Cayenne,2007,Севастополь,бензин,4.8,500.0,АКПП,4WD,синий,205000.0,"1 поколение, рестайлинг",5.0,1180000
1128,Porsche,Cayenne,2007,Горячий Ключ,бензин,4.8,385.0,АКПП,4WD,фиолетовый,316000.0,"1 поколение, рестайлинг",12.0,800000
1130,Porsche,Cayenne,2014,Иркутск,бензин,3.6,420.0,АКПП,4WD,белый,10000.0,"2 поколение, рестайлинг",4.0,3750000
1131,Porsche,Macan,2017,Тольятти,дизель,3.0,245.0,робот,4WD,коричневый,123000.0,1 поколение,1.0,3500000
1133,Porsche,928,1992,Новосибирск,бензин,5.4,350.0,автомат,задний,зеленый,99000.0,,8.0,6000000
1134,Porsche,968,1992,Новосибирск,бензин,3.0,240.0,механика,задний,синий,99000.0,,7.0,4000000
1135,Porsche,Cayenne,2005,Курган,бензин,4.5,340.0,АКПП,4WD,серый,230000.0,1 поколение,6.0,670000
1136,Porsche,Macan,2019,Санкт-Петербург,бензин,3.0,354.0,робот,4WD,серый,38641.0,"1 поколение, рестайлинг",,5999000
1137,Porsche,Cayenne,2011,Махачкала,бензин,4.8,500.0,АКПП,4WD,белый,117000.0,2 поколение,,3550000
1138,Porsche,Cayenne,2017,Курган,дизель,3.0,245.0,АКПП,4WD,черный,46000.0,"2 поколение, рестайлинг",2.0,5300000
1139,Porsche,Cayenne,2011,Москва,бензин,4.8,400.0,АКПП,4WD,фиолетовый,180000.0,2 поколение,4.0,2350000
1140,Porsche,Cayenne,2012,Ханты-Мансийск,бензин,4.8,420.0,АКПП,4WD,черный,126000.0,2 поколение,5.0,2800000
1141,Porsche,Cayenne,2019,Краснодар,бензин,3.0,340.0,АКПП,4WD,серый,9299.0,3 поколение,1.0,9735567
1142,Porsche,Cayenne,2011,Новосибирск,бензин,4.8,400.0,АКПП,4WD,коричневый,157523.0,2 поколение,5.0,1750000
1143,Porsche,Cayenne,2018,Краснодар,бензин,3.0,340.0,АКПП,4WD,серый,101000.0,3 поколение,,5600000
1144,Porsche,Macan,2014,Екатеринбург,бензин,3.0,340.0,робот,4WD,черный,,1 поколение,4.0,2365000
1145,Porsche,Macan,2019,Челябинск,бензин,3.0,354.0,робот,4WD,голубой,280.0,"1 поколение, рестайлинг",,8600000
1147,Porsche,Cayenne,2015,Новосибирск,бензин,3.6,420.0,АКПП,4WD,черный,134000.0,"2 поколение, рестайлинг",7.0,4350000
1148,Porsche,Macan,2014,Москва,бензин,3.0,340.0,робот,4WD,черный,136000.0,1 поколение,6.0,2263000
1149,Porsche,Cayenne,2011,Екатеринбург,бензин,4.8,500.0,АКПП,4WD,фиолетовый,133000.0,2 поколение,7.0,2299000
1150,Porsche,Macan,2014,Орск,бензин,3.6,400.0,робот,4WD,коричневый,115000.0,1 поколение,6.0,2990000
1151,Porsche,Cayenne,2018,Москва,бензин,3.0,340.0,АКПП,4WD,черный,72245.0,3 поколение,1.0,7200000
1153,Porsche,Macan,2020,Челябинск,бензин,2.0,252.0,робот,4WD,голубой,18317.0,"1 поколение, рестайлинг",,6550000
1154,Porsche,Cayenne,2006,Краснодар,бензин,4.5,340.0,АКПП,4WD,белый,210000.0,1 поколение,,750000
1155,Porsche,Macan,2017,Новосибирск,бензин,3.0,340.0,робот,4WD,синий,80000.0,1 поколение,3.0,5000000
1157,Porsche,Cayenne,2019,Новосибирск,бензин,3.0,340.0,АКПП,4WD,черный,68000.0,3 поколение,1.0,7000000
1159,Porsche,Cayenne,2010,Новосибирск,дизель,3.0,240.0,АКПП,4WD,белый,215000.0,"1 поколение, рестайлинг",4.0,1550000
1160,Porsche,Cayenne,2004,Новосибирск,бензин,3.2,250.0,АКПП,4WD,серый,213000.0,1 поколение,7.0,820000
1161,Porsche,Cayenne,2007,Сургут,бензин,4.8,500.0,АКПП,4WD,белый,189000.0,"1 поколение, рестайлинг",9.0,750000
1163,Porsche,Macan,2016,Хабаровск,дизель,3.0,245.0,робот,4WD,синий,90000.0,1 поколение,6.0,4099999
1164,Porsche,Cayenne,2009,Санкт-Петербург,дизель,3.0,240.0,АКПП,4WD,белый,285402.0,"1 поколение, рестайлинг",10.0,1249789
1165,Porsche,Cayenne,2022,Санкт-Петербург,бензин,3.0,340.0,АКПП,4WD,красный,5265.0,3 поколение,1.0,13450000
1166,Porsche,Cayenne,2006,Тюмень,бензин,4.5,340.0,АКПП,4WD,серый,218000.0,1 поколение,4.0,835000
1167,Porsche,Cayenne,2013,Тюмень,бензин,3.6,300.0,АКПП,4WD,черный,162000.0,2 поколение,2.0,2400000
1168,Porsche,Cayenne,2012,Брянск,бензин,3.6,300.0,АКПП,4WD,черный,135000.0,2 поколение,5.0,2200000
1169,Porsche,Panamera,2011,Красноярск,бензин,4.8,500.0,робот,4WD,серый,96000.0,1 поколение,,2870000
1170,Porsche,Cayenne,2018,Воронеж,бензин,3.0,340.0,АКПП,4WD,синий,99800.0,3 поколение,,5299000
1171,Porsche,Cayenne,2020,Москва,бензин,3.0,340.0,АКПП,4WD,синий,32014.0,3 поколение,2.0,8200000
1172,Porsche,Panamera,2018,Москва,бензин,2.9,440.0,робот,4WD,белый,35000.0,2 поколение,1.0,8900000
1173,Porsche,Cayenne,2018,Москва,бензин,3.0,340.0,АКПП,4WD,белый,72733.0,3 поколение,2.0,6300000
1174,Porsche,Cayenne,2016,Краснодар,дизель,3.0,245.0,АКПП,4WD,черный,169000.0,"2 поколение, рестайлинг",1.0,4250000
1175,Porsche,Boxster,1998,Москва,,,,механика,,белый,145000.0,1 поколение,,1250000
1176,Porsche,Cayenne,2011,Омск,бензин,4.8,500.0,АКПП,4WD,коричневый,110000.0,2 поколение,3.0,3000000
1177,Porsche,Cayenne,2013,Иркутск,дизель,4.1,382.0,АКПП,4WD,белый,169000.0,2 поколение,4.0,2999000
1178,Porsche,Panamera,2014,Новосибирск,бензин,3.0,420.0,робот,4WD,коричневый,129000.0,"1 поколение, рестайлинг",6.0,5050000
1179,Porsche,911,2017,Москва,бензин,3.0,450.0,робот,4WD,черный,9997.0,"7 поколение, рестайлинг",3.0,10990000
1180,Porsche,Panamera,2010,Ижевск,бензин,4.8,400.0,робот,4WD,черный,163000.0,1 поколение,,2100000
1181,Porsche,Cayenne,2005,Анапа,бензин,4.5,340.0,АКПП,4WD,черный,197585.0,1 поколение,,550000
1183,Porsche,Cayenne,2014,Новосибирск,бензин,3.6,300.0,АКПП,4WD,белый,104003.0,2 поколение,,2999999
1184,Porsche,Cayenne,2004,Екатеринбург,бензин,4.5,340.0,АКПП,4WD,серебристый,220000.0,1 поколение,,450000
1185,Porsche,Cayenne Coupe,2021,Санкт-Петербург,бензин,4.0,460.0,АКПП,4WD,серый,9000.0,1 поколение,,15800000
1186,Porsche,Cayenne Coupe,2021,Санкт-Петербург,бензин,4.0,460.0,АКПП,4WD,черный,32697.0,1 поколение,,15000000
1188,Porsche,Cayenne,2008,Каменск-Уральский,бензин,4.8,405.0,АКПП,4WD,белый,250000.0,"1 поколение, рестайлинг",,1200000
1189,Porsche,Cayenne,2020,Санкт-Петербург,бензин,3.0,340.0,АКПП,4WD,белый,35991.0,3 поколение,,9350000
1190,Porsche,Macan,2019,Москва,бензин,2.0,252.0,робот,4WD,черный,102113.0,1 поколение,,4449000
1191,Porsche,Cayenne,2015,Москва,дизель,3.0,245.0,АКПП,4WD,коричневый,83000.0,"2 поколение, рестайлинг",3.0,4099000
1192,Porsche,Cayenne,2004,Омск,бензин,3.2,250.0,АКПП,4WD,серебристый,200000.0,1 поколение,,794000
1193,Porsche,Cayenne,2013,Барнаул,бензин,3.6,300.0,АКПП,4WD,красный,164000.0,2 поколение,3.0,2470000
1195,Porsche,Panamera,2012,Калининград,бензин,3.6,300.0,робот,4WD,черный,144000.0,1 поколение,10.0,2700000
1197,Porsche,Cayenne,2013,Санкт-Петербург,бензин,4.8,420.0,АКПП,4WD,черный,103000.0,2 поколение,3.0,2799000
1201,Porsche,Cayenne,2012,Пушкино,бензин,4.8,420.0,АКПП,4WD,красный,106979.0,2 поколение,2.0,3500000
1202,Porsche,Cayenne,2003,Новосибирск,бензин,4.5,340.0,АКПП,4WD,черный,199400.0,1 поколение,15.0,740000
1203,Porsche,Cayenne,2007,Новосибирск,бензин,4.8,500.0,АКПП,4WD,черный,200000.0,"1 поколение, рестайлинг",12.0,960000
1204,Porsche,Macan,2015,Новосибирск,бензин,3.0,340.0,робот,4WD,коричневый,140000.0,1 поколение,1.0,3350000
1205,Porsche,Cayenne,2015,Симферополь,дизель,3.0,245.0,АКПП,4WD,серый,134000.0,"2 поколение, рестайлинг",5.0,3840000
1207,Porsche,Cayenne,2012,Ижевск,дизель,3.0,245.0,АКПП,4WD,черный,157000.0,2 поколение,5.0,2399000
1208,Porsche,Cayenne,2010,Красноярск,бензин,4.8,400.0,АКПП,4WD,белый,250000.0,2 поколение,,1300000
1209,Porsche,Cayenne,2005,Нижневартовск,бензин,4.5,340.0,АКПП,4WD,серебристый,174000.0,1 поколение,4.0,1158000
1210,Porsche,Panamera,2020,Екатеринбург,бензин,2.9,330.0,робот,4WD,белый,5611.0,"2 поколение, рестайлинг",2.0,9800000
1211,Porsche,Cayenne,2011,Екатеринбург,бензин,4.8,400.0,АКПП,4WD,фиолетовый,149000.0,2 поколение,5.0,2099000
1212,Porsche,Cayenne,2012,Екатеринбург,бензин,3.6,300.0,АКПП,4WD,красный,157000.0,2 поколение,6.0,2230000
1213,Porsche,Macan,2022,Москва,бензин,2.0,252.0,робот,4WD,фиолетовый,,"1 поколение, рестайлинг",,10490000
1214,Porsche,Macan,2023,Москва,бензин,2.0,265.0,робот,4WD,оранжевый,,"1 поколение, 2 рестайлинг",,10990000
1216,Porsche,Cayenne,2007,Ставрополь,бензин,3.6,290.0,АКПП,4WD,серебристый,246800.0,"1 поколение, рестайлинг",6.0,1090000
1217,Porsche,Cayenne,2012,Каменск-Уральский,бензин,4.8,400.0,АКПП,4WD,коричневый,145000.0,2 поколение,7.0,2550000
1218,Porsche,Macan,2016,Иркутск,бензин,3.0,360.0,робот,4WD,серый,81000.0,1 поколение,3.0,3600000
1219,Porsche,Cayenne,2007,Томск,бензин,4.8,385.0,АКПП,4WD,черный,265000.0,"1 поколение, рестайлинг",4.0,799000
1220,Porsche,Cayenne,2018,Новокузнецк,бензин,4.0,550.0,АКПП,4WD,белый,127642.0,3 поколение,2.0,8995000
1222,Porsche,944,1988,Новосибирск,бензин,2.5,160.0,механика,задний,красный,1000.0,,3.0,3500000
1223,Porsche,911,2020,Новосибирск,бензин,4.0,450.0,механика,задний,зеленый,,"7 поколение, рестайлинг",,37000000
1227,Porsche,Macan,2014,Санкт-Петербург,бензин,3.0,340.0,робот,4WD,белый,111851.0,1 поколение,2.0,2390000
1228,Porsche,Cayenne,2007,Хабаровск,бензин,4.8,385.0,АКПП,4WD,черный,180000.0,"1 поколение, рестайлинг",7.0,1100000
1229,Porsche,Cayenne,2014,Санкт-Петербург,дизель,3.0,245.0,АКПП,4WD,белый,158125.0,2 поколение,3.0,3083000
1230,Porsche,Cayenne,2011,Москва,бензин,3.0,333.0,АКПП,4WD,белый,73755.0,2 поколение,2.0,1990000
1231,Porsche,Macan,2015,Пермь,бензин,3.6,400.0,робот,4WD,белый,98000.0,1 поколение,2.0,3290000
1232,Porsche,Panamera,2021,Иркутск,бензин,4.0,480.0,робот,4WD,фиолетовый,17468.0,"2 поколение, рестайлинг",1.0,19900000
1233,Porsche,Cayenne,2011,Москва,дизель,3.0,239.0,автомат,4WD,белый,89700.0,,1.0,3120000
1234,Porsche,Cayenne,2016,Москва,бензин,3.6,300.0,АКПП,4WD,коричневый,181439.0,"2 поколение, рестайлинг",3.0,3300000
1235,Porsche,Macan,2018,Москва,бензин,3.0,340.0,робот,4WD,синий,76848.0,1 поколение,1.0,5150000
1236,Porsche,Cayenne,2006,Сочи,бензин,3.2,250.0,АКПП,4WD,бордовый,269000.0,1 поколение,6.0,1200000
1237,Porsche,Cayenne,2016,Санкт-Петербург,дизель,4.1,385.0,АКПП,4WD,черный,75800.0,"2 поколение, рестайлинг",3.0,5249000
1238,Porsche,Macan,2015,Москва,бензин,3.0,340.0,робот,4WD,синий,93359.0,1 поколение,5.0,2385850
1239,Porsche,Cayenne Coupe,2020,Ростов-на-Дону,бензин,3.0,340.0,АКПП,4WD,черный,27010.0,1 поколение,,9690000
1240,Porsche,Cayenne,2022,Москва,бензин,3.0,340.0,АКПП,4WD,черный,15.0,3 поколение,,14500000
1241,Porsche,Cayenne,2004,Красноярск,бензин,4.5,340.0,АКПП,4WD,черный,223000.0,1 поколение,7.0,450000
1242,Porsche,Cayenne,2012,Пятигорск,бензин,4.8,500.0,АКПП,4WD,черный,113000.0,2 поколение,6.0,2630000
1243,Porsche,Cayenne,2018,Брянск,бензин,2.9,440.0,АКПП,4WD,коричневый,68953.0,3 поколение,2.0,7210000
1244,Porsche,Macan,2015,Екатеринбург,бензин,3.6,400.0,робот,4WD,серый,70200.0,1 поколение,2.0,3900000
1245,Porsche,Cayenne,2004,Улан-Удэ,бензин,4.5,340.0,АКПП,4WD,черный,244600.0,1 поколение,4.0,700000
1246,Porsche,Cayenne,2014,Москва,бензин,4.8,420.0,АКПП,4WD,белый,106735.0,2 поколение,4.0,2670000
1247,Porsche,Cayenne,2013,Тюмень,дизель,4.1,382.0,АКПП,4WD,серый,301000.0,2 поколение,5.0,3000000
1248,Porsche,Panamera,2012,Иркутск,бензин,4.8,400.0,робот,4WD,белый,128000.0,1 поколение,5.0,2640000
1249,Porsche,Cayenne,2003,Екатеринбург,бензин,4.5,450.0,АКПП,4WD,зеленый,152142.0,1 поколение,8.0,775000
1250,Porsche,Cayenne,2019,Казань,бензин,2.9,440.0,автомат,4WD,белый,66686.0,,3.0,7500000
1251,Porsche,Cayenne,2019,Москва,бензин,3.0,340.0,АКПП,4WD,белый,61022.0,3 поколение,2.0,7050000
1252,Porsche,Cayenne,2007,Новосибирск,бензин,4.8,500.0,АКПП,4WD,черный,160000.0,"1 поколение, рестайлинг",8.0,1950000
1253,Porsche,911,2018,Санкт-Петербург,бензин,4.0,500.0,механика,задний,зеленый,10924.0,,1.0,14990000
1254,Porsche,Panamera,2009,Москва,бензин,4.8,400.0,робот,4WD,черный,262000.0,1 поколение,7.0,1800000
1255,Porsche,Cayenne,2009,Радужный,дизель,3.0,240.0,АКПП,4WD,черный,275000.0,"1 поколение, рестайлинг",8.0,1590000
